id,region,country,subnat_region
430,"Kampong Cham province, Cheung Prey district",Cambodia,"Kampong Cham province, Cheung Prey district"
431,"Catotoran Sur, Camalaniugan, Cagayan",Philippines,Cagayan
440,Khujand,Tajikistan,Khujand
454,Khan Pur,Pakistan,Punjab
455,"Pauma Valley, CA",United States,California
456,Puerto Cortes,Honduras,Puerto Cortes
458,"marcala, la paz",Honduras,"marcala, la paz"
459,malindi,Kenya,malindi
460,Kiambu,Kenya,Kiambu
472,Kericho,Kenya,Kericho
474,"Baton Rouge, Louisiana",United States,Louisiana
479,Imperial,Peru,Imperial
490,Chinandega,Nicaragua,Chinandega
491,"Brgy. Nangalisan, Bagabag, Nueva Vizcaya",Philippines,"Brgy. Nangalisan, Bagabag, Nueva Vizcaya"
500,Mariakani,Kenya,Mariakani
506,Battambang,Cambodia,Battambang
512,"Battambang province, Sangke district",Cambodia,"Battambang province, Sangke district"
513,"Kampong Speu province, Borseth district",Cambodia,"Kampong Speu province, Borseth district"
523,Nakuru,Kenya,Nakuru
524,Malambo-Atlántico,Colombia,Atlantico
533,Anamoros,El Salvador,Anamoros
534,"Brgy. Paniki, Bagabag, Nueva Vizcaya",Philippines,"Brgy. Paniki, Bagabag, Nueva Vizcaya"
539,Prey Veng,Cambodia,Prey Veng
541,"Kampong Cham province, Dambae district",Cambodia,"Kampong Cham province, Dambae district"
542,Chontales,Nicaragua,Chontales
544,"Kampong Cham province, Prey Chhor district",Cambodia,"Kampong Cham province, Prey Chhor district"
545,Bhera,Pakistan,Punjab
556,Ali Pur Chatta,Pakistan,Punjab
561,"Battambang province, Ek Phnom district",Cambodia,"Battambang province, Ek Phnom district"
565,Kampong Speu Province,Cambodia,Kampong Speu Province
566,hodeidah,Yemen,hodeidah
568,"Toledo, Cebu",Philippines,Cebu
575,"Banteay Meanchey Province, Mongkul Borey District",Cambodia,"Banteay Meanchey Province, Mongkul Borey District"
576,La Paz / El Alto,Bolivia,La Paz / El Alto
579,Santa Barbara,Honduras,Santa Barbara
585,Ngara,Kenya,Nairobi
589,Qurgan-Tube,Tajikistan,Qurgan-Tube
596,"Kampong Cham province, Tbaung Khmum district",Cambodia,"Kampong Cham province, Tbaung Khmum district"
601,"Pattao, Buguey, Cagayan",Philippines,Cagayan
604,Bac Ninh,Vietnam,Bac Ninh
613,Sargodha,Pakistan,Punjab
615,Dushanbe,Tajikistan,Dushanbe
620,Taiz,Yemen,Taiz
621,Charapoto,Ecuador,Charapoto
622,Soledad Atlàntico,Colombia,Atlantico
631,Trou-du-Nord,Haiti,Trou-du-Nord
632,Gujrat,Pakistan,Punjab
640,La Esperanza,Honduras,La Esperanza
647,Arauco,Chile,Bío Bío Region
648,Nurek,Tajikistan,Nurek
662,Soledad (Atlántico),Colombia,Atlantico
663,"Siem Reap Province, Srey Snom district",Cambodia,"Siem Reap Province, Srey Snom district"
676,Pasrur,Pakistan,Punjab
684,Cañete,Chile,Bío Bío Region
698,"Kampong Speu Province, Thporng District",Cambodia,"Kampong Speu Province, Thporng District"
700,"Kandal Province, Lek Dek district",Cambodia,"Kandal Province, Lek Dek district"
731,Sensuntepeque,El Salvador,Sensuntepeque
735,"Olanchito ,Yoro",Honduras,"Olanchito ,Yoro"
741,Ronkh,Senegal,Ronkh
754,Dien Bien,Vietnam,Dien Bien
769,Ciudad Bolivar,Colombia,Antioquia
773,Chuquisaca,Bolivia,Chuquisaca
789,Parcona,Peru,Parcona
794,"Jabalia, Gaza",Palestine,"Jabalia, Gaza"
814,"La Libertad, La Libertad",El Salvador,"La Libertad, La Libertad"
820,Andes,Colombia,Andes
822,Sana`a,Yemen,Sana`a
825,Mafraq,Jordan,Mafraq
827,Salt,Jordan,Salt
830,Dair Alla,Jordan,Dair Alla
832,Karak,Jordan,Karak
834,Bulenga - Nankwandde,Uganda,Bulenga - Nankwandde
835,Southern Ghour,Jordan,Southern Ghour
836,La Dorada,Colombia,Caldas
837,Irbid,Jordan,Irbid
841,Madaba,Jordan,Madaba
848,Wihdat,Jordan,Wihdat
850,Rsaifeh,Jordan,Rsaifeh
852,Zarqa,Jordan,Zarqa
860,El Carmen de Viboral,Colombia,Antioquia
864,Namulanda - Off Entebbe Road,Uganda,Namulanda
866,Sonson,Colombia,Antioquia
867,Bujumbura,Burundi,Bujumbura
870,Thanh Hoá,Vietnam,Thanh Hoa
872,O I C Ropolo,Sierra Leone,O I C Ropolo
873,"Magdalena, Cabatuan, Isabela",Philippines,Isabela
874,Ventanas,Ecuador,Ventanas
876,MOGTEDO,Burkina Faso,MOGTEDO
879,"Bacoor, Cavite",Philippines,Cavite
888,Masuba town,Sierra Leone,Masuba town
889,Seclapea,Liberia,Seclapea
897,Liquiça,Timor-Leste,Liquiça
898,Bogor Barat,Indonesia,West Java
899,Magburaka,Sierra Leone,Magburaka
904,Coya - Calca - Cusco,Peru,Coya - Calca - Cusco
906,Manta,Ecuador,Manta
909,,Colombia,
919,Jaramijo,Ecuador,Jaramijo
920,"Corella, Bohol",Philippines,Bohol
926,"Maribojoc, Bohol",Philippines,Bohol
928,Tangub-Bintana,Philippines,Misamis Occidental
930,Kasese,Uganda,Kasese
933,Kaloleni,Kenya,Kaloleni
935,Nagomari,Georgia,Nagomari
936,"Panglao, Bohol",Philippines,Bohol
942,Kabojja - Natete Kutano,Uganda,Kabojja - Natete Kutano
943,"La Victoria, Aurora, Zamboanga del Sur",Philippines,Zamboanga del Sur
949,Jui,Sierra Leone,Jui
958,Lospalos,Timor-Leste,Lospalos
960,Wara wara,Sierra Leone,Wara wara
963,"Binalbagan, Negros Occidental",Philippines,Negros Occidental
965,Suai,Timor-Leste,Suai
968,"Aurora, Zamboanga del Sur",Philippines,Zamboanga del Sur
973,Accra,Ghana,Accra
978,El Alto,Bolivia,El Alto
987,Isfara,Tajikistan,Isfara
991,Wara Wara town,Sierra Leone,Wara Wara town
