id,region,country,subnat_region
71107,Plaridel-Deboloc,Philippines,Plaridel-Deboloc
71121,Lurin,Peru,Lurin
71128,"La Libertad, Zambonga Del Norte",Philippines,"La Libertad, Zambonga Del Norte"
71154,"HATIBANDHA, NUAPADA, ODISHA",India,"HATIBANDHA, NUAPADA, ODISHA"
71175,Aele-Fou,Samoa,Aele-Fou
71179,"Brgy. Bintawan Sur, Villaverde, Nueva Vizcaya",Philippines,"Brgy. Bintawan Sur, Villaverde, Nueva Vizcaya"
71181,El Bagre,Colombia,El Bagre
71228,"Delapa, Sibutad, Zambonga Del Norte",Philippines,"Delapa, Sibutad, Zambonga Del Norte"
71473,Pachacamac,Peru,Pachacamac
71593,La Libertad,Peru,La Libertad
71623,Ajloun,Jordan,Ajloun
71641,Gardabani,Georgia,Gardabani
71664,Pasadena,United States,Pasadena
71673,Shuamta,Georgia,Shuamta
71688,Suhbaatar,Mongolia,Suhbaatar
71703,Tianeti,Georgia,Tianeti
71704,Hashmiya,Jordan,Hashmiya
71743,N'Golokouna,Mali,N'Golokouna
71750,Saniena,Mali,Saniena
71755,"Poblacion 4, Clarin, Misamis  Occidental",Philippines,"Poblacion 4, Clarin, Misamis  Occidental"
71829,Tbong Khmum Province,Cambodia,Tbong Khmum Province
71862,Metekhi,Georgia,Metekhi
71881,"Banana-Inn, Accra",Ghana,"Banana-Inn, Accra"
71896,Khomuli,Georgia,Khomuli
71908,"GOIMUNDI, NUAPADA, ODISHA",India,"GOIMUNDI, NUAPADA, ODISHA"
71914,Lamiskana,Georgia,Lamiskana
71946,Zikilia,Georgia,Zikilia
72013,Mrganush village of Ararat region,Armenia,Mrganush village of Ararat region
72019,Aygezard village of Ararat region,Armenia,Aygezard village of Ararat region
72033,Chepen,Peru,Chepen
72037,Missirikoro,Mali,Missirikoro
72104,KOUBRI,Burkina Faso,KOUBRI
72164,Xicohtzingo,Mexico,Xicohtzingo
72308,Zanna,Uganda,Zanna
72340,Saleapaga,Samoa,Saleapaga
72346,"Quibal, Peñablanca, Cagayan",Philippines,"Quibal, Peñablanca, Cagayan"
72363,Fayzabad,Tajikistan,Fayzabad
72368,Binko,Mali,Binko
72409,Purwokerto,Indonesia,Purwokerto
72445,Lalovaea,Samoa,Lalovaea
72498,"Brgy. Canabuan, Aritao, Nueva Vizaya",Philippines,"Brgy. Canabuan, Aritao, Nueva Vizaya"
72500,Kondjiguila,Mali,Kondjiguila
72515,"Brgy. Canabuan, Sta.Fe, Nueva Vizcaya",Philippines,"Brgy. Canabuan, Sta.Fe, Nueva Vizcaya"
72518,Poutasi,Samoa,Poutasi
72555,"Brgy. Beti, Aritao, Nueva Vizcaya",Philippines,"Brgy. Beti, Aritao, Nueva Vizcaya"
72651,"Pajes, Boucan Carre",Haiti,"Pajes, Boucan Carre"
72664,Selefougou,Mali,Selefougou
72668,Lotopue Aleipata,Samoa,Lotopue Aleipata
72708,Samusu,Samoa,Samusu
72719,Fayzobod,Tajikistan,Fayzobod
72789,"Brgy. Canabuan,Aritao, Nueva Vizcaya",Philippines,"Brgy. Canabuan,Aritao, Nueva Vizcaya"
72905,"En plaine, Lilavois 1",Haiti,"En plaine, Lilavois 1"
72962,Pos machan,Haiti,Pos machan
73004,"Des Bayes, Boucan Carre",Haiti,"Des Bayes, Boucan Carre"
73014,Hinche,Haiti,Hinche
73045,Arnos Vale,Saint Vincent and the Grenadines,Arnos Vale
73059,Chamelecon,Honduras,Chamelecon
73221,"Bagong Sikat, Alicia, Isabela",Philippines,"Bagong Sikat, Alicia, Isabela"
73246,"Bagepalli, Karnataka",India,"Bagepalli, Karnataka"
73280,Chillanes,Ecuador,Chillanes
73296,Kotayk region,Armenia,Kotayk region
73299,Kitintale,Uganda,Kitintale
73342,"jocoaitique,Morazan",El Salvador,"jocoaitique,Morazan"
73407,"Taguitic, Lanao Del Norte",Philippines,"Taguitic, Lanao Del Norte"
73432,Fogapoa Savaii,Samoa,Fogapoa Savaii
73459,"Oroquieta-Tipan, Oroquieta City, Mis. Occ",Philippines,"Oroquieta-Tipan, Oroquieta City, Mis. Occ"
73464,Desemparados,Costa Rica,Desemparados
73466,Saprasia,Georgia,Saprasia
73486,Dhamar,Yemen,Dhamar
73511,Zirobwe,Uganda,Zirobwe
73555,"Grand Boucan, Mirebalais",Haiti,"Grand Boucan, Mirebalais"
73624,Santa Catarina Polopo,Guatemala,Santa Catarina Polopo
73631,"Denigon, Mirebalais",Haiti,"Denigon, Mirebalais"
73670,"CUYAPO, NUEVA ECIJA",Philippines,"CUYAPO, NUEVA ECIJA"
73676,Tierra Negra,Mexico,Tierra Negra
73682,"CATURAY, GERONA, TARLAC",Philippines,"CATURAY, GERONA, TARLAC"
73726,"Bagnos, Alicia, Isabela",Philippines,"Bagnos, Alicia, Isabela"
73747,"Montagne Terrible, Saut d’eau",Haiti,"Montagne Terrible, Saut d’eau"
73783,Kheltubani,Georgia,Kheltubani
73784,"Vaovai Asau, Savaii",Samoa,"Vaovai Asau, Savaii"
73789,Liloan Bonifacio Ozamiz City,Philippines,Liloan Bonifacio Ozamiz City
73802,Canape-Vert,Haiti,Canape-Vert
73828,"Gaddanan, San Mateo, Isabela",Philippines,"Gaddanan, San Mateo, Isabela"
73832,"Kapalaran, Tambulig Zamboanga del Sur",Philippines,"Kapalaran, Tambulig Zamboanga del Sur"
73887,"MALAUBANG, OZAMIZ CITY",Philippines,"MALAUBANG, OZAMIZ CITY"
73915,Demonayili,Ghana,Demonayili
73927,Kafana,Mali,Kafana
73928,Fusi Safata,Samoa,Fusi Safata
73974,"Poblacion South, Polanco",Philippines,"Poblacion South, Polanco"
73976,Petion-Ville,Haiti,Petion-Ville
74012,Gafurov,Tajikistan,Gafurov
74064,Kissy,Sierra Leone,Kissy
74072,Torbeck,Haiti,Torbeck
74146,Magelang,Indonesia,Magelang
74207,Ccoto Huincho/Urubamba,Peru,Ccoto Huincho/Urubamba
74227,Nazon,Haiti,Nazon
74248,Zamboanga del Norte,Philippines,Zamboanga del Norte
74254,Grassfield,Sierra Leone,Grassfield
74314,Maniche,Haiti,Maniche
74360,FAUSAGA,Samoa,FAUSAGA
74374,TCHAOUDJO,Togo,TCHAOUDJO
74414,"CABALAOANGAN, ROSALES, PANGASINAN",Philippines,"CABALAOANGAN, ROSALES, PANGASINAN"
74457,Delmas 32,Haiti,Delmas 32
74470,"Limón,Pococí, Cariari",Costa Rica,"Limón,Pococí, Cariari"
74543,Fullahtown,Sierra Leone,Fullahtown
74566,Turgeau,Haiti,Turgeau
74575,Atlantida,Honduras,Atlantida
74601,"Pagadian-Guipos, ZDS",Philippines,"Pagadian-Guipos, ZDS"
74615,La Convencion / Santa Ana,Peru,La Convencion / Santa Ana
74638,Hueypoxtla,Mexico,Hueypoxtla
74652,Khistevarz,Tajikistan,Khistevarz
74681,"Delapa, Sibutad, Zamboanga Del Norte",Philippines,"Delapa, Sibutad, Zamboanga Del Norte"
74684,"La Limas, Tezonapa; Veracruz",Mexico,"La Limas, Tezonapa; Veracruz"
74701,"Dansoman, Accra",Ghana,"Dansoman, Accra"
74719,Dikhashkho,Georgia,Dikhashkho
74791,Zumpango,Mexico,Zumpango
74831,La Convencion/Ocobamba,Peru,La Convencion/Ocobamba
74901,Lunahuana,Peru,Lunahuana
74979,"Tangub - Pangabuan,Tangub City,Misamis Occidental",Philippines,"Tangub - Pangabuan,Tangub City,Misamis Occidental"
74991,Vaiusu,Samoa,Vaiusu
75021,Tafitoala,Samoa,Tafitoala
75053,"Nabbotuan Solana, Cagayan",Philippines,"Nabbotuan Solana, Cagayan"
75064,Ucupe - Lagunas - Chiclayo,Peru,Ucupe - Lagunas - Chiclayo
75092,"San Juan Alotenango,Sacatepequez",Guatemala,"San Juan Alotenango,Sacatepequez"
75107,Nextlalpan,Mexico,Nextlalpan
75169,"Trichy, Tamil Nadu",India,"Trichy, Tamil Nadu"
75174,Dornod,Mongolia,Dornod
75185,Ulutogia,Samoa,Ulutogia
75217,Sahagun,Colombia,Sahagun
75248,"Magdalena Milpas Altas, Sacatepéquez",Guatemala,"Magdalena Milpas Altas, Sacatepéquez"
75329,"Agugaddan, Peñablanca",Philippines,"Agugaddan, Peñablanca"
75331,"Kirova village, Osh region",Kyrgyzstan,"Kirova village, Osh region"
75353,"Chekildek village, Naryn region",Kyrgyzstan,"Chekildek village, Naryn region"
75355,"Calamagui, Amulung, Cagayan",Philippines,"Calamagui, Amulung, Cagayan"
75374,Utulaelae,Samoa,Utulaelae
75437,Chorkor,Ghana,Chorkor
75520,"Voxji village, Shirak region",Armenia,"Voxji village, Shirak region"
75566,"Kampot Province, Chom Kiri District",Cambodia,"Kampot Province, Chom Kiri District"
75587,"Centro, Amulung, Cagayan",Philippines,"Centro, Amulung, Cagayan"
75644,Nkolbisson -Yaoundé,Cameroon,Nkolbisson -Yaoundé
75668,Antaramej village,Armenia,Antaramej village
75830,"Tangub - Manga, Tangub City, Philippines",Philippines,"Tangub - Manga, Tangub City, Philippines"
75911,Kapsowar,Kenya,Kapsowar
75913,"Amobocan, Cauayan City, Isabela",Philippines,"Amobocan, Cauayan City, Isabela"
75921,"Gosi Norte, Tuguegarao City",Philippines,"Gosi Norte, Tuguegarao City"
75937,"Ticwas, Dumalinao, ZDS",Philippines,"Ticwas, Dumalinao, ZDS"
75956,"Darbas village, Syunik region",Armenia,"Darbas village, Syunik region"
75966,"Ticwas, Dumalinao,ZDS",Philippines,"Ticwas, Dumalinao,ZDS"
76046,"Cataggaman Viejo, Tuguegarao City",Philippines,"Cataggaman Viejo, Tuguegarao City"
76048,Bukavu,The Democratic Republic of the Congo,Bukavu
76049,"Bagong Tanza, Aurora, Isabela",Philippines,"Bagong Tanza, Aurora, Isabela"
76062,"Alegria, Pagadian City",Philippines,"Alegria, Pagadian City"
76066,"Paddad, Alicia Isabela",Philippines,"Paddad, Alicia Isabela"
76159,Intibuca,Honduras,Intibuca
76207,"Khounkham District, Khammouan Province",Lao People's Democratic Republic,"Khounkham District, Khammouan Province"
76231,"Zhoosh village, Osh region",Kyrgyzstan,"Zhoosh village, Osh region"
76239,Tepeaca,Mexico,Tepeaca
76252,"Brgy. Decabacan, Diadi, Nueva Vizcaya",Philippines,"Brgy. Decabacan, Diadi, Nueva Vizcaya"
76253,Varanasi,India,Varanasi
76294,"Bubuashie, Accra",Ghana,"Bubuashie, Accra"
76323,Zheti-Oguz village,Kyrgyzstan,Zheti-Oguz village
76344,Villa de Allende,Mexico,Villa de Allende
76354,"Brgy. Balete, Diadi, Nueva Vizcaya",Philippines,"Brgy. Balete, Diadi, Nueva Vizcaya"
76387,"Katipunan, Guipos, ZDS",Philippines,"Katipunan, Guipos, ZDS"
76406,Gavrilovka,Kyrgyzstan,Gavrilovka
76485,Xiangkhouang,Lao People's Democratic Republic,Xiangkhouang
76495,"Centro, Peñablanca, Cagayan",Philippines,"Centro, Peñablanca, Cagayan"
76514,Kaduna,Nigeria,Kaduna
76526,"Awoshie, Accra",Ghana,"Awoshie, Accra"
76545,Macabayao Jiminez Mis. Occ,Philippines,Macabayao Jiminez Mis. Occ
76597,"Brgy. Bugnay, Diadi, Nueva Vizcaya",Philippines,"Brgy. Bugnay, Diadi, Nueva Vizcaya"
76614,"Prey Veng Province, Peam Ror District",Cambodia,"Prey Veng Province, Peam Ror District"
76758,Carrefour feuille,Haiti,Carrefour feuille
76927,"Jaba'a Village, West Bank",Palestine,"Jaba'a Village, West Bank"
77057,Magunga,Kenya,Magunga
77060,"Alaverdi town, Lori region",Armenia,"Alaverdi town, Lori region"
77061,"Cavite City, Cavite",Philippines,"Cavite City, Cavite"
77067,"Poblacion Alto, Sergio Osmena, Zamboanga del Norte",Philippines,"Poblacion Alto, Sergio Osmena, Zamboanga del Norte"
77087,"Lemu Norte, Enrile, Cagayan",Philippines,"Lemu Norte, Enrile, Cagayan"
77089,"Upper Talaban, Sergio Osmena, Zamboanga del Norte",Philippines,"Upper Talaban, Sergio Osmena, Zamboanga del Norte"
77145,Vero Beach,United States,Vero Beach
77167,"San Roque Enrile,Cagayan",Philippines,"San Roque Enrile,Cagayan"
77233,"Bazum village, Lori region",Armenia,"Bazum village, Lori region"
77247,"Santa Maria Visitacion, Sololá",Guatemala,"Santa Maria Visitacion, Sololá"
77282,"Disimuray,Cauayan City Isabela",Philippines,"Disimuray,Cauayan City Isabela"
77365,Chkhari,Georgia,Chkhari
77415,"Trece Martires, Cavite",Philippines,"Trece Martires, Cavite"
77428,"Satupaitea Pitonuu, Savaii Island",Samoa,"Satupaitea Pitonuu, Savaii Island"
77442,Huarmaca - Huancabamba - Piura,Peru,Huarmaca - Huancabamba - Piura
77446,Qajaran town,Armenia,Qajaran town
77460,"Baybay Maningcol, Ozamiz City",Philippines,"Baybay Maningcol, Ozamiz City"
77465,"Dipolog- Upper Turno, Dipolog City",Philippines,"Dipolog- Upper Turno, Dipolog City"
77491,Port St. Lucie,United States,Port St. Lucie
77496,"Naic, Cavite",Philippines,"Naic, Cavite"
77534,"Brgy. Sinapaoan, Sta.Fe, Nueva Vizcaya",Philippines,"Brgy. Sinapaoan, Sta.Fe, Nueva Vizcaya"
77546,"Plaridel - Alegria, Lopez Jaena",Philippines,"Plaridel - Alegria, Lopez Jaena"
77549,"Plaridel-Polo Pitogo, Bato, Plaridel, Mis. Occ.",Philippines,"Plaridel-Polo Pitogo, Bato, Plaridel, Mis. Occ."
77611,"San Vicente, Tambulig, Zamboanga del Sur",Philippines,"San Vicente, Tambulig, Zamboanga del Sur"
77614,"General Trias, Cavite",Philippines,"General Trias, Cavite"
77620,"Annafunan East, Tuguegarao City",Philippines,"Annafunan East, Tuguegarao City"
77653,Kompong Thom,Cambodia,Kompong Thom
77730,"Poblacion 4, Clarin, Misamis Occidental",Philippines,"Poblacion 4, Clarin, Misamis Occidental"
77756,Amaile Fou,Samoa,Amaile Fou
77845,Chimaltenango,Guatemala,Chimaltenango
77927,"COL. FIDEL HERRERA BELTRAN, TUXPAN, Veracruz",Mexico,"COL. FIDEL HERRERA BELTRAN, TUXPAN, Veracruz"
77951,Liloan Bonifacio Misamis Occ.,Philippines,Liloan Bonifacio Misamis Occ.
77971,Lilo-an Bonifacio Misamis Occ,Philippines,Lilo-an Bonifacio Misamis Occ
77984,Bagumbang Bonifacio,Philippines,Bagumbang Bonifacio
78130,"Pueblo Hidalgo, San Luis Acatlán, Guerrero",Mexico,"Pueblo Hidalgo, San Luis Acatlán, Guerrero"
78250,Delmas 18,Haiti,Delmas 18
78264,Salamumu,Samoa,Salamumu
78307,Dimalco Bonifacio Misamis Occidental,Philippines,Dimalco Bonifacio Misamis Occidental
78394,El Pedregal - Buenos Aires - Morropon -Piura,Peru,El Pedregal - Buenos Aires - Morropon -Piura
78412,"Plaridel-Unidos, Plaridel, Misamis Occidental",Philippines,"Plaridel-Unidos, Plaridel, Misamis Occidental"
78413,"Callao, Peñablanca, Cagayan",Philippines,"Callao, Peñablanca, Cagayan"
78419,Kompong Cham,Cambodia,Kompong Cham
78445,"Ugad, Tumauini, Isabela",Philippines,"Ugad, Tumauini, Isabela"
78454,Pacallo,Bolivia,Pacallo
78475,"Larena - Tubod, San Juan, Siquijor",Philippines,"Larena - Tubod, San Juan, Siquijor"
78491,"Brgy. Bonfal East,Bayombong,Nueva Vizcaya",Philippines,"Brgy. Bonfal East,Bayombong,Nueva Vizcaya"
78512,Honda,Colombia,Honda
78522,San Pelayo,Colombia,San Pelayo
78569,"Brgy. Arwas, Diadi,Nueva Vizcaya",Philippines,"Brgy. Arwas, Diadi,Nueva Vizcaya"
78574,"Kyzylkyshtak village, Osh region",Kyrgyzstan,"Kyzylkyshtak village, Osh region"
78578,"Larena-Cangomantong, Lazi",Philippines,"Larena-Cangomantong, Lazi"
78607,Soe,Indonesia,Soe
78614,curva pucara,Bolivia,curva pucara
78629,"Brgy. Sawmill, Villaverde, Nueva Vizcaya",Philippines,"Brgy. Sawmill, Villaverde, Nueva Vizcaya"
78771,"Larena-Ibabao, Siquijor",Philippines,"Larena-Ibabao, Siquijor"
78805,"Larena-Poblacion, Siquijor, Siquijor",Philippines,"Larena-Poblacion, Siquijor, Siquijor"
78812,Bandung,Indonesia,Bandung
78835,"Larena -Bolot, Enrique Villanueva, Siquijor",Philippines,"Larena -Bolot, Enrique Villanueva, Siquijor"
78919,"Bitibut, Sapang Dalaga, Misamis, Occidental",Philippines,"Bitibut, Sapang Dalaga, Misamis, Occidental"
78985,"Duminit, Cauayan City, Isabela",Philippines,"Duminit, Cauayan City, Isabela"
79017,"Brgy. Poblacion West, Lamut, Ifugao",Philippines,"Brgy. Poblacion West, Lamut, Ifugao"
79032,"Dumagoc, Pagadian",Philippines,"Dumagoc, Pagadian"
79078,"Bato, Plaridel, Misamis, Occidental",Philippines,"Bato, Plaridel, Misamis, Occidental"
79160,"Brgy. San Pedro, Bagabag, Nueva Vizcaya",Philippines,"Brgy. San Pedro, Bagabag, Nueva Vizcaya"
79176,Chikha,Georgia,Chikha
79198,"Brgy. Payawan, Lamut, Ifugao",Philippines,"Brgy. Payawan, Lamut, Ifugao"
79273,"McAllen, Texas",United States,"McAllen, Texas"
79284,Utualii,Samoa,Utualii
79301,"Brgy. Quirino, Bagabag,Nueva Vizcaya",Philippines,"Brgy. Quirino, Bagabag,Nueva Vizcaya"
79302,Niepos - San Miguel - Cajamarca,Peru,Niepos - San Miguel - Cajamarca
79332,"Brgy. Sanafe, Lamut, Ifugao",Philippines,"Brgy. Sanafe, Lamut, Ifugao"
79372,"Noramarg village, Ararat region",Armenia,"Noramarg village, Ararat region"
79403,Dzimiti,Georgia,Dzimiti
79411,Skindori,Georgia,Skindori
79535,"Sverdlov village, Lori region",Armenia,"Sverdlov village, Lori region"
79545,"Birayan, Rizal, ZDN",Philippines,"Birayan, Rizal, ZDN"
79567,"Cabeza de Arroyo Granizo, Xochistlahuaca, Guerrero",Mexico,"Cabeza de Arroyo Granizo, Xochistlahuaca, Guerrero"
79607,"Sarnakunk village, Syunik region",Armenia,"Sarnakunk village, Syunik region"
79650,Choros - Cutervo - Cajamarca,Peru,Choros - Cutervo - Cajamarca
79655,"Magalalag East, Enrile, Cagayan",Philippines,"Magalalag East, Enrile, Cagayan"
79707,"Shaki community, Syunik region",Armenia,"Shaki community, Syunik region"
79718,"Salvador, Calamba, Misamis Occidental",Philippines,"Salvador, Calamba, Misamis Occidental"
79727,Nabbingo,Uganda,Nabbingo
79740,Rodinauli,Georgia,Rodinauli
79746,"Jimenez-Butuay, Jimenez, Misamis Occidental",Philippines,"Jimenez-Butuay, Jimenez, Misamis Occidental"
79769,"Tudela-Pob 2, Clarin, Mis Occ",Philippines,"Tudela-Pob 2, Clarin, Mis Occ"
79770,"Nagrumbuan, Cauayan City, Isabela",Philippines,"Nagrumbuan, Cauayan City, Isabela"
79807,"Larena-Tagmanocan, Lazi, Siquijor",Philippines,"Larena-Tagmanocan, Lazi, Siquijor"
79819,"Tierra Colorada, Ometepec, Guerrero",Mexico,"Tierra Colorada, Ometepec, Guerrero"
79879,"Nalbandyan village, Armavir region",Armenia,"Nalbandyan village, Armavir region"
79936,Tsinsvla,Georgia,Tsinsvla
79944,"Houston, Texas",United States,"Houston, Texas"
80053,"Bela-Vista, Maputo",Mozambique,"Bela-Vista, Maputo"
80136,"San Marcos, CA",United States,"San Marcos, CA"
80139,"Cuyamel, Cortes",Honduras,"Cuyamel, Cortes"
80210,Malololelei,Samoa,Malololelei
80369,"Aknashen village, Armavir region",Armenia,"Aknashen village, Armavir region"
80373,Barepat village,Armenia,Barepat village
80945,"Jrapi village, Shirak region",Armenia,"Jrapi village, Shirak region"
80947,"Nakar, San Guillermo, Isabela",Philippines,"Nakar, San Guillermo, Isabela"
81035,Cerro Mojarra la Capilla,Mexico,Cerro Mojarra la Capilla
81042,Bananzole,Mali,Bananzole
81047,"Poway, CA",United States,"Poway, CA"
81090,Mariko,Mali,Mariko
81101,"Vicente,Oaxaca",Mexico,"Vicente,Oaxaca"
81104,,South Africa,
81134,San Juan de Bigote - Morropon - Piura,Peru,San Juan de Bigote - Morropon - Piura
81136,"Junagarh, Odisha",India,"Junagarh, Odisha"
81193,"Palma Cuata, Acatlan de Perez Figueroa, Oaxaca",Mexico,"Palma Cuata, Acatlan de Perez Figueroa, Oaxaca"
81217,"Santor,Reina Mrcedes,Isabela",Philippines,"Santor,Reina Mrcedes,Isabela"
81264,"Tangub - Baybay, Bonifacio, Misamis Occidental",Philippines,"Tangub - Baybay, Bonifacio, Misamis Occidental"
81286,"La Coraza, Acatlan de Perez Figueroa, Oaxaca",Mexico,"La Coraza, Acatlan de Perez Figueroa, Oaxaca"
81393,"Dashtadem village, Aragatsotn region",Armenia,"Dashtadem village, Aragatsotn region"
81440,Vedi,Armenia,Vedi
81512,"Pagadian - Bayao,Tukuran, Zamboanga del Sur",Philippines,"Pagadian - Bayao,Tukuran, Zamboanga del Sur"
81538,Pagadian-Upper Bayao Tukuran Zamboanga del Sur,Philippines,Pagadian-Upper Bayao Tukuran Zamboanga del Sur
81542,Ayapel,Colombia,Ayapel
81554,Marako,Mali,Marako
81620,Nichkesai village,Kyrgyzstan,Nichkesai village
81625,"Guayabal,Cauayan City,Isabela",Philippines,"Guayabal,Cauayan City,Isabela"
81682,Xochimilco,Mexico,Xochimilco
81736,Acari,Peru,Acari
81753,Benito Juárez,Mexico,Benito Juárez
81762,"Santor,Reina Mercedes, Isabela",Philippines,"Santor,Reina Mercedes, Isabela"
81848,Izcalli,Mexico,Izcalli
81900,Tkviavi,Georgia,Tkviavi
81901,"Calauagan, San Guillermo, Isabela",Philippines,"Calauagan, San Guillermo, Isabela"
81906,"Pulay,Luna,Isabela",Philippines,"Pulay,Luna,Isabela"
81922,"Paniqui, Tarlac",Philippines,"Paniqui, Tarlac"
81972,Huaytará,Peru,Huaytará
81980,"Limón,Talamanca, Bratsi, Chase",Costa Rica,"Limón,Talamanca, Bratsi, Chase"
81985,"Limón, Talamanca, Bratsi, Sepecue",Costa Rica,"Limón, Talamanca, Bratsi, Sepecue"
81990,Mollepata-Anta,Peru,Mollepata-Anta
81996,"Arpy village, Vayots Dzor region",Armenia,"Arpy village, Vayots Dzor region"
82016,Fonfona,Mali,Fonfona
82138,Kasubi,Uganda,Kasubi
82177,Ccorao - San Sebastian - Cusco - Cusco,Peru,Ccorao - San Sebastian - Cusco - Cusco
82181,"Eghegnavan village, Ararat region",Armenia,"Eghegnavan village, Ararat region"
82273,Tioncourani,Mali,Tioncourani
82304,Jocotenango,Guatemala,Jocotenango
82374,Acapulco,Mexico,Acapulco
82476,"Chase, Talamanca, Limón",Costa Rica,"Chase, Talamanca, Limón"
82580,Siroko,Uganda,Siroko
82583,Nyohini,Ghana,Nyohini
82617,Abaita Ababiri,Uganda,Abaita Ababiri
82624,Asebu,Ghana,Asebu
82640,Port Loko,Sierra Leone,Port Loko
82648,AKERANA,Bolivia,AKERANA
82676,"Kichke-Sai village, Jalalabat region",Kyrgyzstan,"Kichke-Sai village, Jalalabat region"
82727,"Brgy. Bonfal West, Bayombong,Nueva Vizcaya",Philippines,"Brgy. Bonfal West, Bayombong,Nueva Vizcaya"
82859,"Novovoznesenovka village, Issyk-Kul region",Kyrgyzstan,"Novovoznesenovka village, Issyk-Kul region"
82906,Puerto Salgar,Colombia,Puerto Salgar
82920,Chilca,Peru,Chilca
82960,"La Esperanza, Quetzaltenango",Guatemala,"La Esperanza, Quetzaltenango"
82965,Zhany-Zhol village,Kyrgyzstan,Zhany-Zhol village
82982,"Tembladeras del castillo, Acatlan de Perez Figuero",Mexico,"Tembladeras del castillo, Acatlan de Perez Figuero"
83079,Maagiagi,Samoa,Maagiagi
83136,"Kyzyl-Jar village, Jalalabat region",Kyrgyzstan,"Kyzyl-Jar village, Jalalabat region"
83147,Kyzyl-Suu village,Kyrgyzstan,Kyzyl-Suu village
83193,"Chuisanto Tomas, Suchitepquez",Guatemala,"Chuisanto Tomas, Suchitepquez"
83323,"KORTIPADAR, NUAPADA, ODISHA",India,"KORTIPADAR, NUAPADA, ODISHA"
83425,Fusi Saoluafata,Samoa,Fusi Saoluafata
83469,Samusu Uta,Samoa,Samusu Uta
83498,"General Mariano Alvarez, Cavite",Philippines,"General Mariano Alvarez, Cavite"
83512,Meghvrekisi,Georgia,Meghvrekisi
83515,Tezeri,Georgia,Tezeri
83543,Njimafor Mbatu,Cameroon,Njimafor Mbatu
83547,"Kinangay Sur, Clarin , Misamis Occidental",Philippines,"Kinangay Sur, Clarin , Misamis Occidental"
83571,Rukhi,Georgia,Rukhi
83585,"Mile3 Nkwen,NW.Province",Cameroon,"Mile3 Nkwen,NW.Province"
83711,Kortskheli,Georgia,Kortskheli
83763,"San Ambrocio, Angadanan, Isabela",Philippines,"San Ambrocio, Angadanan, Isabela"
83765,Kpataribogu,Ghana,Kpataribogu
83769,"Satupaitea Satufia, Savaii Island",Samoa,"Satupaitea Satufia, Savaii Island"
83770,"Dalakip, Angadanan, Isabela",Philippines,"Dalakip, Angadanan, Isabela"
83790,Kandal Province,Cambodia,Kandal Province
83795,Gautavai Savaii,Samoa,Gautavai Savaii
83813,Vista Alegre - Nazca,Peru,Vista Alegre - Nazca
83864,"Pagadian - Bagalupa, Labangan, Zamboanga del Sur",Philippines,"Pagadian - Bagalupa, Labangan, Zamboanga del Sur"
83910,Kvakhvreli,Georgia,Kvakhvreli
83979,"Victoria,Alicia,Isabela",Philippines,"Victoria,Alicia,Isabela"
83981,N'Gola,Mali,N'Gola
83985,Neiafu Savaii,Samoa,Neiafu Savaii
83996,Digan,Mali,Digan
83998,Bella,Mali,Bella
84032,"Pura, Tarlac",Philippines,"Pura, Tarlac"
84038,N'Tena,Mali,N'Tena
84040,La Paz,Mexico,La Paz
84042,"San Roque, Peñablanca, Cagayan",Philippines,"San Roque, Peñablanca, Cagayan"
84062,"Brgy. Poblacion, Kasibu, Nueva Vizcaya",Philippines,"Brgy. Poblacion, Kasibu, Nueva Vizcaya"
84070,Santa Ana,United States,Santa Ana
84071,Hovtun village,Armenia,Hovtun village
84076,Djombougou,Mali,Djombougou
84089,Irazola,Peru,Irazola
84098,"Dipolog-Sta. Filomena, Dipolog City",Philippines,"Dipolog-Sta. Filomena, Dipolog City"
84101,"Moncada, Tarlac",Philippines,"Moncada, Tarlac"
84107,Cieneguilla,Peru,Cieneguilla
84141,Seble,Mali,Seble
84146,"Ramos, tarlac",Philippines,"Ramos, tarlac"
84149,"Brgy. Abinganan, Bambang, Nueva Vizcaya",Philippines,"Brgy. Abinganan, Bambang, Nueva Vizcaya"
84173,Khornabuji,Georgia,Khornabuji
84177,Dialakoroba,Mali,Dialakoroba
84181,Jayagadh,Nepal,Jayagadh
84208,Patara Chailuri,Georgia,Patara Chailuri
84214,"Dumka, Jharkhand",India,"Dumka, Jharkhand"
84228,Massamakana,Mali,Massamakana
84229,"Brgy. Mangayang,Dupax del Sur, Nueva Vizcaya",Philippines,"Brgy. Mangayang,Dupax del Sur, Nueva Vizcaya"
84256,"Antagan 1st, Tumauini, Isabela",Philippines,"Antagan 1st, Tumauini, Isabela"
84258,"Queens, New York",United States,"Queens, New York"
84408,"Gerona, Tarlac",Philippines,"Gerona, Tarlac"
84411,"Barangcuag, Angadanan, Isabela",Philippines,Isabela
84426,Zerlaba,Mali,Zerlaba
84432,Kapala,Mali,Kapala
84462,Bogotieri,Mali,Bogotieri
84465,"Baybayog, Alcala, Cagayan",Philippines,"Baybayog, Alcala, Cagayan"
84496,"Puerto Princesa North, Palawan",Philippines,"Puerto Princesa North, Palawan"
84553,Bemabougou,Mali,Bemabougou
84614,"Mallam,Accra",Ghana,"Mallam,Accra"
